language,mode,games,iterations,exploration,seed,total_runtime_s,total_moves,mcts_decisions,total_simulations,total_nodes,x_wins,o_wins,draws,simulations_per_second,nodes_per_second,avg_decision_time_s
mojo,mcts_budget_4_1er,2000,4,1.414000,42,0.007762,14968,7581,30324,35804,1374,412,214,3906635.482979,4612622.900428,0.000001
mojo,mcts_budget_4_2e,2000,4,1.414000,42,0.007762,14968,7581,30324,35804,800,882,318,3906635.482979,4612622.900428,0.000001
mojo,mcts_budget_8_1er,2000,8,1.414000,42,0.014533,14373,7440,59520,59322,1605,193,202,4095403.356978,4081779.535327,0.000002
mojo,mcts_budget_8_2e,2000,8,1.414000,42,0.014533,14373,7440,59520,59322,1207,551,242,4095403.356978,4081779.535327,0.000002
mojo,mcts_budget_16_1er,2000,16,1.414000,42,0.027193,13586,7147,114352,103452,1830,66,104,4205234.971807,3804393.174613,0.000004
mojo,mcts_budget_16_2e,2000,16,1.414000,42,0.027193,13586,7147,114352,103452,1481,310,209,4205234.971807,3804393.174613,0.000004
mojo,mcts_budget_32_1er,2000,32,1.414000,42,0.054044,12934,6860,219536,183601,1921,20,59,4062173.330269,3397251.865802,0.000008
mojo,mcts_budget_32_2e,2000,32,1.414000,42,0.054044,12934,6860,219536,183601,1594,208,198,4062173.330269,3397251.865802,0.000008
mojo,mcts_budget_64_1er,2000,64,1.414000,42,0.107114,12527,6691,428224,333426,1942,3,55,3997851.233384,3112827.738151,0.000016
mojo,mcts_budget_64_2e,2000,64,1.414000,42,0.107114,12527,6691,428224,333426,1713,116,171,3997851.233384,3112827.738151,0.000016
mojo,mcts_budget_128_1er,2000,128,1.414000,42,0.211918,12328,6603,845184,609264,1971,2,27,3988252.712395,2874993.848162,0.000032
mojo,mcts_budget_128_2e,2000,128,1.414000,42,0.211918,12328,6603,845184,609264,1757,67,176,3988252.712395,2874993.848162,0.000032
mojo,mcts_budget_256_1er,2000,256,1.414000,42,0.404500,12241,6567,1681152,1108319,1977,0,23,4156123.665905,2739972.843189,0.000062
mojo,mcts_budget_256_2e,2000,256,1.414000,42,0.404500,12241,6567,1681152,1108319,1786,18,196,4156123.665905,2739972.843189,0.000062
mojo,mcts_budget_1000_1er,2000,1000,1.414000,42,1.562991,12108,6512,6512000,3442303,1977,0,23,4166371.824576,2202382.406458,0.000240
mojo,mcts_budget_1000_2e,2000,1000,1.414000,42,1.562991,12108,6512,6512000,3442303,1832,0,168,4166371.824576,2202382.406458,0.000240
mojo,mcts_canonique_1000_1er,2000,1000,1.414000,42,1.586094,12108,6512,6512000,3442303,1977,0,23,4105684.347657,2170302.448863,0.000244
